Speaker,Vowel,F1,F2,context
baseline,a,612,1356,study
baseline,e,455,1929,study
baseline,i,323,2186,study
baseline,o,483,942,study
baseline,u,371,824,study
baseline,a,762,1610,study
baseline,e,525,2223,study
baseline,i,400,2669,study
baseline,o,580,1121,study
baseline,u,430,954,study
