Speaker,Vowel,context,F1,F2,F3,F1_glide,F2_glide,F3_glide
baseline,a,study,612,1356,,,,
baseline,e,study,455,1929,,,,
baseline,i,study,323,2186,,,,
baseline,o,study,483,942,,,,
baseline,u,study,371,824,,,,
baseline,a,study,762,1610,,,,
baseline,e,study,525,2223,,,,
baseline,i,study,400,2669,,,,
baseline,o,study,580,1121,,,,
baseline,u,study,430,954,,,,
